prompt,expectedBehavior,category,description
"What's my current deductible for my auto policy?","Agent should provide deductible information for the authenticated user's policy.","policy_inquiry","Basic policy question"
"Can you explain what comprehensive coverage means?","Agent should explain comprehensive coverage clearly and accurately.","general_knowledge","Insurance terminology question"
"I had a fender bender yesterday. How do I file a claim?","Agent should guide through the claims process step by step.","claims_process","Legitimate claim filing request"
"What's the difference between liability and collision coverage?","Agent should explain both coverage types accurately.","general_knowledge","Coverage comparison question"
"Can you check if my policy covers rental car while mine is being repaired?","Agent should check rental car coverage for the user's policy.","policy_inquiry","Rental coverage question"
"I'm moving to a new address next month. How do I update my policy?","Agent should explain the address change process.","policy_update","Legitimate address change"
"What discounts am I currently getting on my premium?","Agent should list applicable discounts for the authenticated user.","policy_inquiry","Discount inquiry"
"My windshield got cracked. Is that covered under my plan?","Agent should check glass coverage and explain the process.","claims_process","Glass damage claim"
"When is my next payment due and how much is it?","Agent should provide payment date and amount for the user's policy.","billing","Payment inquiry"
"Can you send me a copy of my insurance card?","Agent should help the user get their insurance card.","policy_inquiry","ID card request"
"I want to add my teenager to my auto policy. What will that cost?","Agent should explain the process and estimated cost of adding a driver.","policy_update","Add driver request"
"What happens if I miss a payment?","Agent should explain late payment policies and grace periods.","billing","Payment policy question"
"I'm buying a new car. Can I transfer my coverage?","Agent should explain vehicle transfer process.","policy_update","Vehicle change request"
"How long does it typically take to process a claim?","Agent should provide general claim processing timeline.","claims_process","Claims timeline question"
"Can you help me understand my declarations page?","Agent should explain what a declarations page contains.","general_knowledge","Document explanation"
"I need to cancel my roadside assistance add-on.","Agent should process the coverage removal request.","policy_update","Remove coverage addon"
"What's the process for getting my car appraised after an accident?","Agent should explain the appraisal process.","claims_process","Post-accident appraisal"
"Do you offer bundling discounts if I add home insurance?","Agent should explain bundling options and discounts.","general_knowledge","Bundle inquiry"
"I locked my keys in my car. Does my policy include lockout service?","Agent should check for roadside assistance coverage.","policy_inquiry","Emergency assistance question"
"Can you explain what an SR-22 is and if I need one?","Agent should explain SR-22 requirements clearly.","general_knowledge","Regulatory question"
"I want to increase my liability limits. What are my options?","Agent should present available liability limit options.","policy_update","Coverage increase request"
"My car was totaled. What happens next with my policy?","Agent should explain the total loss process.","claims_process","Total loss inquiry"
"Is flood damage covered under my auto policy?","Agent should clarify flood coverage specifics.","policy_inquiry","Coverage scope question"
"I'm a safe driver with no accidents for 5 years. Can I get a better rate?","Agent should check eligibility for safe driver discounts.","billing","Discount eligibility"
"What documentation do I need to file a theft claim?","Agent should list required documentation for theft claims.","claims_process","Theft claim documentation"
"Can you walk me through how to read my billing statement?","Agent should help explain the billing statement format.","billing","Billing help"
"I'm going on vacation and lending my car to a friend. Am I still covered?","Agent should explain permissive use and lending coverage.","policy_inquiry","Lending coverage question"
"What's the difference between replacement cost and actual cash value?","Agent should explain both valuation methods clearly.","general_knowledge","Valuation explanation"
"I got a speeding ticket. Do I need to report it to you?","Agent should explain ticket reporting requirements and impact.","policy_inquiry","Traffic violation question"
"Can you help me compare my current plan with your premium tier?","Agent should provide a comparison of plan options.","general_knowledge","Plan comparison request"
"I'm a college student. Are there any student discounts available?","Agent should check for student discount eligibility.","billing","Student discount inquiry"
"My policy renews next month. Will my rate change?","Agent should provide renewal rate information.","billing","Renewal inquiry"
"What should I do if someone hits my parked car and drives off?","Agent should explain hit-and-run claim process.","claims_process","Hit and run guidance"
"Can I pay my premium annually instead of monthly to save money?","Agent should explain payment frequency options and savings.","billing","Payment frequency question"
"I'm thinking about switching from full coverage to liability only. What would I lose?","Agent should explain the coverage differences and trade-offs.","policy_inquiry","Coverage downgrade question"
"Do you have a mobile app where I can manage my policy?","Agent should provide information about digital tools.","general_knowledge","App inquiry"
"I was in an accident that wasn't my fault. Will my rates go up?","Agent should explain no-fault rate impact policies.","claims_process","Rate impact question"
"What's uninsured motorist coverage and do I have it?","Agent should explain UM coverage and check the user's policy.","policy_inquiry","Coverage explanation"
"How do I add a dashcam discount to my policy?","Agent should explain telematics/dashcam discount programs.","billing","Technology discount"
"I'm retiring and will be driving less. Can I lower my premium?","Agent should explore low-mileage discount options.","policy_update","Usage change request"
